Product ID;Sku Number;Products  Name;Inventory Status Notes;Sum of Stock;;;;;;;;;;;;
2007;89686010046;Indomie Kuah Ayam Spesial Mie Instan;Dalam Pencarian;4,982;;;;;;;;;;;;
36000;3.20001E+14;Packaging - AC Sticker Vinyl Japanese Mochi Diameter 4 cm;Dalam Pencarian;3,472;;;;;;;;;;;;
13870;8.99275E+12;Vit Air Mineral;Dalam Pencarian;2,972;;;;;;;;;;;;
34335;8.99801E+12;Teh Kotak Rasa Leci;Dalam Pencarian;2,826;;;;;;;;;;;;
36476;89686611236;Qtela Keripik Tempe Orek;Dalam Pencarian;2,698;;;;;;;;;;;;
24921;677521;Kantong Sampah Hitam Size S 45x50 cm A Basics;Dalam Pencarian;2,614;;;;;;;;;;;;
8815;8.99722E+12;Tempe Chips Black Truffle Keripik Tempe Astro Goods;Dalam Pencarian;1,987;;;;;;;;;;;;
13708;8.99801E+12;Ultra Mimi Full Cream Susu UHT;Dalam Pencarian;1,982;;;;;;;;;;;;
12896;8.99801E+12;Teh Kotak Less Sugar Tetra pack;Dalam Pencarian;1,944;;;;;;;;;;;;
6646;8.99601E+12;Tehbotol Sosro Kotak Original;Dalam Pencarian;1,832;;;;;;;;;;;;
22592;8.99723E+12;Tempe Chips Original Non MSG Keripik Tempe Astro Goods 60gram;Dalam Pencarian;1,806;;;;;;;;;;;;
32188;145195;Paper bag isi 5pcs - A Basics 5pcs;Dalam Pencarian;1,706;;;;;;;;;;;;
35023;3.20001E+14;Packaging - AK Cutlery Set Custom Biru (Sendok & Garpu);Dalam Pencarian;1,700;;;;;;;;;;;;
24471;8.99722E+12;Tempe Chips Seaweed Keripik Tempe Astro Goods;Dalam Pencarian;1,626;;;;;;;;;;;;
31897;3.20001E+14;Packaging - Sticker Vinyl AK Cugil Uk. 6.5 x 7 cm [Per Pack 1 x 20];Dalam Pencarian;1,506;;;;;;;;;;;;
31763;8.99006E+12;Aluminium Foil Box 30cm x 7.6m - A Basics;Dalam Pencarian;1,457;;;;;;;;;;;;
25719;925235;Pasir Kucing Scented - Astro Basics/Cat Litter;Dalam Pencarian;1,351;;;;;;;;;;;;
6880;8.99887E+12;Mie Sedaap Goreng 90gr Isi 5/Mie Instan;Dalam Pencarian;1,248;;;;;;;;;;;;
23723;136714;Yellow Lily Handsoap Bottle/Sabun Cuci Tangan - Astro Basics;Dalam Pencarian;1,235;;;;;;;;;;;;
25857;7.6222E+12;Ritz Cokelat Biskuit Sandwich;Dalam Pencarian;1,217;;;;;;;;;;;;
30512;3.20001E+14;Packaging - AK Snack Box dengan Jendela Uk. 16 x 12 x 7 cm [Per Pack 1 x 100];Dalam Pencarian;1,200;;;;;;;;;;;;
26006;320116;Toilet Tissue 2 ply - A Basics;Dalam Pencarian;1,160;;;;;;;;;;;;
32070;3.20001E+14;Packaging - AK Pisau Plastik Kue in PCS ( 1 pack isi 25 PCS );Dalam Pencarian;1,082;;;;;;;;;;;;
6513;8.99276E+12;Coca-Cola Zero Minuman Soda Can;Dalam Pencarian;1,062;;;;;;;;;;;;
2189;8.88817E+12;Khong Guan Assorted Biskuit Kaleng;Dalam Pencarian;1,037;;;;;;;;;;;;
418;8.99978E+12;Hansaplast Aqua Protect 6's;Dalam Pencarian;962;;;;;;;;;;;;
2954;859176;Garda Kencana Kartu Domino 1pcs;Dalam Pencarian;915;;;;;;;;;;;;
14481;89686010107;Indomie Mie Kuah Kaldu Ayam;Dalam Pencarian;883;;;;;;;;;;;;
14559;7.11844E+11;ABC Saus Sambal Asli;Dalam Pencarian;859;;;;;;;;;;;;
6589;8.99319E+12;Amidis Distilled Air Mineral Botol;Dalam Pencarian;850;;;;;;;;;;;;
27173;8.99613E+12;Cleo Air Murni Botol;Dalam Pencarian;848;;;;;;;;;;;;
33243;8.99298E+12;Wonhae Banana Milk Bites;Dalam Pencarian;818;;;;;;;;;;;;
37658;89686734058;Chitato Wavy Family Rose Tteokbokki;Dalam Pencarian;814;;;;;;;;;;;;
756;8.88601E+12;AQUA Air Mineral Botol;Dalam Pencarian;758;;;;;;;;;;;;
2447;89686598957;Chitato Chijeu ?? Rasa Keju;Dalam Pencarian;724;;;;;;;;;;;;
21452;413465;Parfum Mobil Balinese Coffee - Astro Basics/Otomotif 10ml;Dalam Pencarian;701;;;;;;;;;;;;
2927;6.90248E+12;Su Brand Naga Soun New Pack;Dalam Pencarian;690;;;;;;;;;;;;
24147;80051671;Nutella Spread/Selai;Dalam Pencarian;684;;;;;;;;;;;;
8166;8.99332E+12;Crispy Brownies Double Choco - Astro Goods;Dalam Pencarian;681;;;;;;;;;;;;
25474;8.88802E+12;Energize Ultra Alkaline A23-1 12 V;Dalam Pencarian;662;;;;;;;;;;;;
7125;8.8889E+12;La Fonte Spaghettini Pasta;Dalam Pencarian;659;;;;;;;;;;;;
8816;8.99722E+12;Tempe Chips Sour Cream Keripik Tempe Astro Goods;Dalam Pencarian;654;;;;;;;;;;;;
1774;8.99887E+12;Japota Keripik Kentang Honey Butter;Dalam Pencarian;599;;;;;;;;;;;;
33737;581034;Celana Dalam Disposable Pria L isi 6pcs - A Basics;Dalam Pencarian;582;;;;;;;;;;;;
2111;8.996E+12;Roma Malkist Cokelat Crackers;Dalam Pencarian;568;;;;;;;;;;;;
29886;877405;Double Choco Pillow Cookies Astro Goods;Dalam Pencarian;547;;;;;;;;;;;;
2470;7.33739E+11;Now Foods C-1000 Veg Vitamin;Dalam Pencarian;545;;;;;;;;;;;;
13709;8.99801E+12;Ultra Mimi Strawberry Susu UHT;Dalam Pencarian;539;;;;;;;;;;;;
3475;8.99107E+12;Fukumi Porang Konjac Rice Box isi 40gr x 7 Sachet/Beras Porang;Dalam Pencarian;538;;;;;;;;;;;;
34334;8.99801E+12;Teh Kotak Rasa Mangga;Dalam Pencarian;537;;;;;;;;;;;;
27821;4.98482E+12;Panasonic Cr2032 Baterai Jam Kancing;Dalam Pencarian;536;;;;;;;;;;;;
24472;8.99722E+12;Tempe Chips Sri Racha Sauce Keripik Tempe Astro Goods;Dalam Pencarian;526;;;;;;;;;;;;
32998;8.99981E+12;Paratusin Obat Flu Dan Batuk;Dalam Pencarian;522;;;;;;;;;;;;
34982;8.996E+12;Wow Spaghetti Meaty Bolognese Pasta;Dalam Pencarian;512;;;;;;;;;;;;
25894;937692;Pembersih Lantai Fresh Apple 4000ml/Floor Cleaner - Astro Basics;Dalam Pencarian;510;;;;;;;;;;;;
23076;922639;Sumpit Bambu 20 pcs - Astro Basics;Dalam Pencarian;508;;;;;;;;;;;;
943;4.97013E+12;Snowman Whiteboard Marker Spidol Papan Putih Black;Dalam Pencarian;504;;;;;;;;;;;;
4720;8.99305E+12;Paseo Smart Travel Pack/Tisu 50sheets;Dalam Pencarian;492;;;;;;;;;;;;
392;383741;Joyko Double Tape 12mm x 15 yard;Dalam Pencarian;481;;;;;;;;;;;;
22736;503277;Soft Facial Tissue/Tisu Wajah - Astro Basics 250sheets;Dalam Pencarian;478;;;;;;;;;;;;
1281;8.99298E+12;Koepoe Koepoe Baking Powder;Dalam Pencarian;473;;;;;;;;;;;;
2484;89686732047;Chitato Lite Nori Seaweed/Keripik Kentang 120gram;Dalam Pencarian;466;;;;;;;;;;;;
34830;701298;Pulpen Click 0.5 Hitam - A Basics;Dalam Pencarian;465;;;;;;;;;;;;
25844;301027;Deterjen Cair Konsentrat Pink Peony Detergent Cair - Astro Basics;Dalam Pencarian;461;;;;;;;;;;;;
1169;8.99269E+12;Zwitsal Baby Hair Lotion Aloe Vera Kemiri/Minyak Rambut Bayi 200ml 200ml;Dalam Pencarian;454;;;;;;;;;;;;
6200;8.886E+12;Astor Chocolate Wafer Stick 40gram;Dalam Pencarian;452;;;;;;;;;;;;
5047;8.99516E+12;Sus Gula Pasir Putih;Dalam Pencarian;443;;;;;;;;;;;;
