location_id,product_id,product_name,vendor_id,primary_vendor_name,stock_wh,ospo_qty,ospr_qty,osrl_qty,rl_qty_hub
40,13,Darlie Double Action Mint Toothpaste 225 gram,163,Darlie / PT Asia Paramita Indah,674,0,240,0,43
40,55,ABC Saus Tomat 135 ml,6221,PT Heinz ABC indonesia,723,0,864,0,110
40,64,Kardus Polos Packing Small 20x10x8cm 1 pcs,380,PT ISUTO SUKSES JAYA,600,0,0,0,125
40,109,Taro Net Seaweed 62 gram,285,FKS Mart,1435,1170,0,0,39
40,112,Selection Facial Cotton - Kapas  75 gram,407,PT Tarunakusuma Purinusa,3249,0,1692,0,136
40,126,Pop Mie Kari Ayam/Popmie 75 gram,13,PT Indomarco,1,624,2400,0,597
40,149,KIWI Shine & Protect Black Polish 75ml 75 ml,208,PT Bina San Prima (TANGERANG),0,48,0,0,19
40,157,YOU-C 1000 Orange Water 500 ml,259,PT Artaboga Cemerlang,229,696,0,0,24
40,160,Ottogi Spicy Jin Ramen 120 gram,10,PT Tirta Buana Indoraya,1,320,320,0,160
40,174,YOU-C 1000 Lemon 140 ml,259,PT Artaboga Cemerlang,294,1860,0,0,74
40,199,ABC Minyak Wijen 195 ml,6221,PT Heinz ABC indonesia,0,0,504,0,106
40,208,Baygon Aerosol Flower Garden/Pembasmi Serangga 600 ml,208,PT Bina San Prima (TANGERANG),234,600,180,0,127
40,225,Selection Facial Cotton Round - Kapas  1 Pack,407,PT Tarunakusuma Purinusa,1884,0,792,0,271
40,264,Sido Muncul Vitamin C 1000 Minuman Suplement Serbuk Lemon 6 Sachets,387,PT SAMA SAMO MEKAR,85,120,120,0,14
40,271,Vitalong C Vitamin C 30 Kapsul,444,PT UNITED DICO CITAS,0,180,60,0,70
40,294,Nion-Nion Bawang Goreng Sumenep 250 gram,388,Nion Nion ( Bawang Goreng),23,100,200,0,17
40,340,Paseo Smart Facial Soft Pack/Tisu 180 Sheets,131,PT Catur Sentosa Anugerah,2278,4752,0,0,682
40,364,Pure Paw Paw Ointment - Krim Gel Multifungsi 25 gram,177,SEMESTA DISTRIBUSI INDONESIA,76,2,0,0,1
40,365,Nutella B-Ready Wafer 6 pcs 132 gram,8,PT Sukanda Djaya (Lokal/Diamond),73,432,0,0,26
40,399,Fermipan Ragi Instan 44 gram,119,PT Kartikawira Adisukses,0,600,120,0,259
