Prod id;07/04/2025;14/04/2025;21/04/2025;28/04/2025
2;95.89928571;91.89021429;83.98246032;75.94667143
7;0.01;0.01;0.01;0.01
9;0;0;0;0
11;15.19628571;15.23571429;15.18995767;15.33876429
13;0;0;0;0
16;0.556571429;0.559;0.559383598;0.567607143
20;0;0;0;0
24;34.036;29.85814286;28.8839709;27.0681
26;76.9855;76.85914286;76.02322222;76.16452857
28;0;0;0;0
35;0.981071429;0.9845;0.982732804;0.99465
36;1.603428571;0.9045;1.103751323;0.699957143
39;0;0;0;0
51;0;0;0;0
55;0;0;0;0
59;0.045071429;0.0455;0.045798942;0.046478571
64;0;0;0;0
67;0;0;0;0
70;0;0;0;0
80;0;0;0;0
81;0;0;0;0
83;26.64735714;26.74292857;26.71303704;27.03534286
85;1.812142857;0.8515;1.02771164;0.479714286
87;27.78192857;27.91771429;27.94823016;28.35874286
104;0;0;0;0
105;31.58242857;31.68764286;31.6349709;31.99742857
109;0;0;0;0
112;0;0;0;0
116;11.04857143;11.07392857;11.0341164;11.13522143
120;0;0;0;0
121;11.94421429;11.99242857;11.98643915;12.14103571
126;0;0;0;0
137;0;0;0;0
142;0;0;0;0
149;0;0;0;0
152;1.241357143;1.245071429;1.243978836;1.259864286
153;2.721285714;2.731214286;2.727738095;2.760721429
156;14.18871429;14.22885714;14.19184127;14.33755714
157;0;0;0;0
160;0;0;0;0
166;12.00821429;10.61092857;10.57505556;10.6731
174;0;0;0;0
178;4.959714286;4.975928571;4.967322751;5.023971429
181;29.81921429;30.81314286;23.34606614;15.85737143
182;10.78178571;10.82285714;10.8135873;10.94829286
183;11.81178571;5.613285714;1.898833333;1.162342857
189;0;0;0;0
191;6.805214286;6.831928571;6.826362434;6.911228571
199;0;0;0;0
201;0;0;0;0
203;0;0;0;0
206;0;0;0;0
208;0;0;0;0
209;10.06571429;10.09707143;10.07738624;10.18907143
210;46.74892857;47.00828571;47.45303439;44.58672857
214;3.881;3.897428571;3.895642857;3.945721429
223;0;0;0;0
225;0;0;0;0
228;20.27292857;20.34035714;20.3056164;20.53701429
233;0;0;0;0
234;1.496928571;1.502071429;1.499481481;1.515642857
235;0;0;0;0
243;0;0;0;0
248;1.592857143;1.599214286;1.599441799;1.621342857
251;2.387428571;1.497642857;1.752018519;1.243207143
255;2.530571429;2.539857143;2.537156085;2.568464286
258;7.825142857;6.347714286;6.33257672;6.400742857
259;7.143785714;7.175071429;7.175042328;7.271014286
261;0;0;0;0
264;0;0;0;0
269;6.187357143;6.214357143;6.215780423;6.299535714
271;0;0;0;0
276;6.646642857;6.671285714;6.662854497;6.742357143
281;8.969928571;9.004142857;8.998214286;9.111735714
285;6.693857143;6.709;6.684407407;6.744557143
294;0;0;0;0
295;4.275285714;2.673214286;3.127441799;2.207971429
296;25.53121429;25.62621429;25.60002381;25.91217143
307;1.8335;1.164285714;1.355145503;0.97225
331;45.97978571;47.07035714;34.11546032;21.42095
340;0;0;0;0
352;0;0;0;0
356;4.115428571;4.132;4.130880952;4.185157143
361;80.02628571;79.86442857;78.94038624;79.02171429
364;0;0;0;0
365;0;0;0;0
368;0;0;0;0
379;0;0;0;0
384;0;0;0;0
392;21.13942857;21.21471429;21.18948942;21.44349286
396;0;0;0;0
399;0;0;0;0
400;23.09585714;23.17785714;23.14871693;23.42596429
408;0;0;0;0
411;1.558642857;1.562071429;1.555478836;1.56825
418;31.91835714;33.26564286;25.88325132;18.30671429
427;2.228142857;1.421571429;1.566743386;1.112214286
432;0;0;0;0
434;13.223;13.26585714;13.24107672;13.38852857
435;22.40021429;22.466;22.41154233;22.64837857
443;0;0;0;0
444;0;0;0;0
447;0;0;0;0
454;0;0;0;0
458;1.496642857;1.502714286;1.502912698;1.52395
462;35.6385;35.54342857;35.09216667;35.07948571
463;1.309785714;0.658214286;0.843835979;0.465535714
471;0;0;0;0
473;75.11064286;75.04414286;74.33125132;74.5916
484;0;0;0;0
492;0;0;0;0
494;0;0;0;0
497;0;0;0;0
505;0;0;0;0
506;11.48278571;11.51964286;11.49744974;11.62527857
507;0;0;0;0
510;0.045214286;0.045928571;0.046743386;0.047957143
518;0;0;0;0
520;6.725714286;6.758357143;6.765206349;6.863542857
525;0;0;0;0
528;0;0;0;0
529;0;0;0;0
533;0;0;0;0
537;0;0;0;0
547;2.606;2.615428571;2.613981481;2.647685714
551;0.935071429;1.138928571;1.26355291;1.016
554;0.572285714;0.574071429;0.572772487;0.578385714
561;16.72335714;16.79707143;16.79950794;17.02654286
566;0;0;0;0
567;1.647285714;1.653642857;1.65218254;1.671907143
569;91.28692857;91.70392857;91.75412434;93.04285
570;214.2888571;215.3339286;215.5648677;218.7251357
574;19.707;19.79921429;19.81528042;20.0995
578;4.617714286;4.635785714;4.633071429;4.692414286
580;0;0;0;0
581;0;0;0;0
584;1.219714286;0.726214286;0.866809524;0.582892857
593;1.305357143;0.784928571;0.932328042;0.632428571
599;0.658285714;0.658857143;0.656616402;0.662821429
