Vendor ID;Primary Vendor Name;Ideal RL submission;Inbound Day;Freq Delivery?;Total Lead Time (+int);Frequency;JI;Terms;One Bill Payment;Remarks;Inbound Days
210;(PURECO )INDOGO CORPORATION CV;Tue;Tue;;8;0.5;14;;Pembayaran PO sebelumnya harus sudah settled;CBD;Monday, Tuesday
420;Abe Food;Mon;Fri;;12;1;7;;Outstanding payment (discrepancies Invoice x GRN);CBD;
4180;ASTRO INDOKARYA SEMESTA;Thu;Thu;;12;1;7;;None;COD;Monday, Tuesday, Wednesday, Thursday, Friday
25;Ayu Beauty House;Tue;Sat;;11;1;7;;None;CBD;
268;BAT (British America Tobacco);Mon;Fri;;10;1;7;;Bad Performance;7 DAYS;
5314;Beorganik;Tue;Sat;;11;1;7;;None;14 DAYS;
209;BUMI TANI NUSANTARA;Tue;Wed;;9;1;7;;Outstanding payment (discrepancies Invoice x GRN);7 Days;
5838;CAZTORE;Mon;Thu;;11;1;7;;None;14 DAYS;
4335;CV ABAD DUA SATU MAKMUR;Mon;Thu;;11;1;7;;None;14 DAYS;Monday, Tuesday, Wednesday, Thursday, Friday
395;CV Aneka Semesta Nutrisindo;Tue;Sat;;12;1;7;;None;7 DAYS;
5638;CV Anugerah Mitra Restu;Wed;Thu;;9;1;7;;None;30 DAYS;Tuesday, Wednesday, Thursday, Friday
4962;CV ARGANA PANGAN INDONESIA;Tue;Sat;;11;1;7;;None;CBD;
5315;CV Bima Tek Indonesia;Mon;Fri;;9;1;7;;None;CBD;
4745;CV BURSA SELARAS BERSAMA;Thu;Wed;;11;1;7;;None;7 DAYS;
6061;CV FENUCAPS INDONESIA;Mon;Fri;;11;1;7;;None;CBD;Monday, Tuesday, Wednesday, Thursday, Friday
140;CV Fermanto Bevfoods;Mon;Tue;;9;1;7;;None;CBD;
5636;CV GUELE KOSMETIK INDONESIA;Wed;Thu;;9;1;7;;None;30 DAYS;Monday, Tuesday, Wednesday, Thursday, Friday
5179;CV INDOKOPI MAKMUR SENTOSA;Mon;Fri;;9;1;7;;None;30 DAYS;
3856;CV JOE TOKO HEWAN;Tue;Sat;;12;0.5;14;;None;CBD;
706;CV Kreasi Pangan Global;Mon;Mon;;8;1;7;;None;14 DAYS;Monday, Tuesday, Wednesday, Thursday, Friday
5002;CV Matso Brother;Tue;Sat;;9;0.25;28;;Outstanding payment (discrepancies Invoice x GRN);14 DAYS;
5599;CV NOERA BY REISHA;Tue;Mon;;7;1;7;;None;30 DAYS;Monday, Tuesday, Wednesday, Thursday, Friday
5271;CV Oscilla Indonesia;Mon;Fri;;10;1;7;;None;CBD;
