product_id;product_name;Min Stock WH
2;Larutan Cap Kaki Tiga Leci 320 ml;0
7;Dancow Madu 3-5 Thn Advanced Excelnutri/Susu Formula 350 gram;12
11;Monde Cream Crackers Biscuits 180 gram;0
13;Darlie Double Action Mint Toothpaste 225 gram;140
24;Larutan Cap Kaki Tiga Anak 200 ml;0
26;Aqua Mineral Water / Air Mineral 600 ml;0
28;Hup Seng Cream Crackers 428 gram;12
34;Shinshuichi Miko Chan Miso Tauco Putih Khas Jepang 300 gram;0
35;Dancow Advanced Excelnutri Vanilla 1-3 Tahun Susu Formula 350 gram;30
36;Magiclean Wiper Wet Sheets Refill/Alat Pembersih Rumah 1 pcs;35
37;Green Valley Grated Parmesan Cheese/Keju Parmesan 80 gram;0
39;Maybelline New York Define And Blend Brow Pencil  Mechanic Natural Brown 1 pcs;12
55;ABC Saus Tomat 135 ml;0
59;Oatly Oatmilk Chocolate Dairy Free 1000 ml;30
64;Kardus Polos Small 20x10x8cm 1 pcs;70
70;Nutrimax C Max 1000 Vitamin C 30 Tablet;30
83;Cap Dua Mujair Bihun Medan 300 gram;140
85;Palmolive Naturals Body Wash Orchid/Sabun Mandi 1 Liter;30
87;Blue Diamond Almond Milk Original /Susu Almond 946 ml;0
100;Cimory Squeeze Original Yogurt 120ml 120 ml;0
104;Hormel Spam Classic 340 gram;12
105;Panadol Cold & Flu 1 Blister;0
109;Taro Net Seaweed 62 gram;0
112;Selection Facial Cotton - Kapas  75 gram;0
116;Glade 3in1 Disinfectant & Air Sanitizer Clean & Fresh/Pewangi Ruangan 400 ml;70
117;Bakso Warisan Ibu Sapi Urat 10 pcs 200 gram;0
121;Mazola Canola Oil Botol/Minyak Kanola 450ml 450 ml;140
126;Pop Mie Kari Ayam/Popmie 75 gram;0
142;Hormel Spam Lite Usa 340 gram;12
143;Magnum Mini Classic Ice Cream 6x45 ml - Es Krim Walls 270 ml;0
149;KIWI Shine & Protect Black Polish 75ml 75 ml;12
152;Dried Shitakes Mushrooms/Jamur Shitake Kering 250 gram;30
153;Dancow Advanced Excelnutri Vanilla 3-5 Tahun Susu Formula 350 gram;30
156;Joyko Gunting SC-828 12cm 1 pcs;140
157;YOU-C 1000 Orange Water 500 ml;0
160;Ottogi Spicy Jin Ramen 120 gram;140
166;Rinso Perfume Essence Deterjen Cair 700 ml;0
174;YOU-C 1000 Lemon 140 ml;0
178;Vanish Oxi Action Powder Tube Penghilang Noda & Kuman Pakaian 400 gram;35
181;Hansaplast Kain Elastis Mix 20's 1 Pack;140
182;Mylanta Obat Maag Liquid Pencernaan & Lambung 50 ml;140
183;Nivea Lip Balm Essential Care 4 gram;140
191;Dancow Advanced Excelnutri Vanilla 5-12 Tahun Susu Formula 350 gram;70
199;ABC Minyak Wijen 195 ml;140
208;Baygon Aerosol Flower Garden/Pembasmi Serangga 600 ml;0
209;Strepsils Original - Permen Pelega Tenggorokan 8 Butir;140
210;Larutan Penyegar Cap Kaki Tiga 200 ml;0
214;Mr Muscle Pembersih Kamar Mandi 5in1 Spray/Pembersih Kamar Mandi 500 ml;35
225;Selection Facial Cotton Round - Kapas  1 Pack;0
228;Lo Han Kuo Infusion/Obat Herbal 168 gram;0
233;Garnier Micellar Cleansing Water All in 1 For Oily, Acne - Prone Skin 125 ml;12
234;Twinings English Breakfast Tea 1 pack 50 gram;30
248;Merries NB24 Diapers Tape 1 Pack;30
251;Men's Biore Pore Pack Black Strip 4 Sheets;35
255;UHA Kororo Strawberry Permen Jeli 40 gram;35
258;Pepsodent Double Care Sensitive Toothbrush 1 packs 1 Pack;0
259;Becom-Zet Multivitamin & Zinc Strip 10 Tablet;70
263;Elle & Vire Butter Packet Unsalted 200 gram;0
264;Sido Muncul Vitamin C 1000 Serbuk Lemon 6 Sachets;70
269;Hideaki Japoneca Rice/Beras Jepang 2 kg;35
271;Vitalong C Vitamin C 30 Kapsul;30
276;Oatly Oatmilk Barista Dairy Free /Susu Gandum 1000 ml;70
281;OB Herbal Sirup Obat Batuk 60 ml;70
288;Iga Babi Bakut 500 gram;0
294;Nion-Nion Bawang Goreng Sumenep 250 gram;140
295;Attack Hygiene Plus Protection Deterjen Cair 750 ml;140
296;Kerupuk Bawang Naga Prima Warna Warni 500 gram;0
307;Men's Biore Cool Energy Body Foam Pouch/Sabun Mandi 400 ml;70
331;Nivea Extra Brightening Deodorant Roll On 50 ml;0
336;Elle & Vire Butter Packet Salted  200 gram;0
340;Paseo Smart Facial Soft Pack/Tisu 180 Sheets;0
352;Kacang Kapri Tari Bali 300 gram;0
355;Heavenly Blush Greek Granola Yogurt 100 gram;0
356;Sambal Asli Lampung Ny. Lily/Sambel 350 gram;35
361;Pocari Sweat Minuman Isotonik Botol 500 ml;0
364;Pure Paw Paw Ointment - Krim Gel Multifungsi 25 gram;30
365;Nutella B-Ready Wafer 6 pcs 132 gram;0
392;Joyko Double Tape 12mm x 15 yard 1 pcs;0
399;Fermipan Ragi Instan 44 gram;140
400;Joyko Double Tape 24mm x 15 yard 1 pcs;0
411;Oatly Oatmilk Original Dairy Free 1000 ml;30
418;Hansaplast Aqua Protect 6's  1 Pack;0
427;Palmolive Naturals Cherry Blossom Body Wash/Sabun Mandi 1 Liter;35
434;Daimaru Opp Tape Lakban Coklat 2 inch x 90 yard 1 pcs;0
435;Joyko Gunting SC-838 16cm 1 pcs;0
446;Daging Babi Samcan/Pork Belly 500gram 500 gram;0
447;Eagle Balm Geliga Balsem Otot 10 gram;35
449;Belfoods Sosis Ayam 6 pcs;0
454;YOU-C 1000 Lemon Water 500 ml;140
458;Twinings Earl Grey Tea 1 pack 50 gram;30
462;Oronamin C Drink 120 ml;0
463;Merries Good Skin XL16 Diapers Pants 1 Pack;30
473;Hydro Coco Coconut Water/Air Kelapa 250 ml;0
484;Selection Cotton Bud Kapas 100 Stick;0
492;Blackmores Koala Kids Body Shield 60 Kapsul;30
